experiment,model,n,diag_residual,dft_mean_row_residual,dft_mean_abs_corr,abs_mean,abs_std_over_mean,scaled_unitarity_error,snr_db
size_sweep,SpectralNeuralModel,16,1.5451089332430001e-06,0.0008419221485382877,0.999999638646841,0.24999994039535522,0.0006385790766216815,0.0012952906545251608,
size_sweep,SpectralNeuralModel,32,1.0707874281479235e-05,0.002247312120744027,0.9999973531812429,0.1767764687538147,0.0016477650497108698,0.0033238602336496115,
size_sweep,SpectralNeuralModel,64,8.155603858028826e-06,0.002004559530178085,0.9999979985877872,0.12499987334012985,0.0014224069891497493,0.002865786198526621,
noise_sweep,SpectralNeuralModel,32,6.187639385757393e-06,0.0017568934672453906,0.9999984819442034,0.17677655816078186,0.0013039716286584735,0.0025451492983847857,40.0
noise_sweep,SpectralNeuralModel,32,2.1293262761901133e-05,0.0032532155528315343,0.9999946337193251,0.17677615582942963,0.002440615324303508,0.004786432720720768,30.0
noise_sweep,SpectralNeuralModel,32,7.251940024843861e-05,0.006061413601855747,0.9999815840274096,0.1767749786376953,0.004416497424244881,0.008816812187433243,20.0
noise_sweep,SpectralNeuralModel,32,0.0003025404123491171,0.012324967072345316,0.9999236725270748,0.17676971852779388,0.008894979022443295,0.017785262316465378,10.0
noise_sweep,SpectralNeuralModel,32,0.001321041256233002,0.02574354159878567,0.9996665380895138,0.17674510180950165,0.018910737708210945,0.03713107481598854,0.0
untied_variant,SpectralNeuralModelUntied,32,9.560034200717382e-06,0.0021616035082843155,0.9999975897371769,0.17677649855613708,0.001498177764005959,0.003198884893208742,
baselines,HardProductLearnedBasis,32,2.8740096600365103e-13,1.7244640417857227e-06,0.9999999664723873,1.0,6.311042000106681e-08,1.3432492096399073e-07,
