experiment,model,n,diag_residual,dft_mean_row_residual,dft_mean_abs_corr,abs_mean,abs_std_over_mean,scaled_unitarity_error,snr_db
size_sweep,SpectralNeuralModel,16,0.46650413190945983,0.6149129117911798,0.7467631921172142,0.22873863577842712,0.44106775522232056,0.07141651213169098,
size_sweep,SpectralNeuralModel,32,0.48946577520109713,0.6500123953228467,0.737101886421442,0.16076527535915375,0.45728448033332825,0.0754784643650055,
size_sweep,SpectralNeuralModel,64,0.7124057682231069,0.695490332582267,0.6786908587673679,0.11369828879833221,0.45681771636009216,0.751133143901825,
noise_sweep,SpectralNeuralModel,32,0.47252716147340834,0.6543669668681105,0.7327891234308481,0.16072866320610046,0.4578867554664612,0.07996205985546112,40.0
noise_sweep,SpectralNeuralModel,32,0.47294361307285726,0.6579456298350124,0.7290478628128767,0.16082334518432617,0.4563290774822235,0.09190738946199417,30.0
noise_sweep,SpectralNeuralModel,32,0.7921172669157386,0.679430697040516,0.6768481992185116,0.16185620427131653,0.43916431069374084,0.7482596635818481,20.0
noise_sweep,SpectralNeuralModel,32,0.4719086792320013,0.6537606964993756,0.7307469006627798,0.1618543565273285,0.4391952455043793,0.16810370981693268,10.0
noise_sweep,SpectralNeuralModel,32,0.6074217692948878,0.6625645533204079,0.7104918151162565,0.16313797235488892,0.4173658490180969,0.5332813262939453,0.0
untied_variant,SpectralNeuralModelUntied,32,0.7818386433646083,0.6784935076866532,0.677771185990423,0.15997949242591858,0.47012344002723694,0.5191749334335327,
baselines,HardProductLearnedBasis,32,2.8740096600365103e-13,1.7244640417857227e-06,0.9999999664723873,1.0,6.311042000106681e-08,1.3432492096399073e-07,
